COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
2,24,48,2022-2023,T,SERVICE_INVOICE-31102022-SGIPL-Gyproc Jhagadia SGIPL-V-48-T.pdf,113,01/11/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/11/2022 00:00:00,null,null,null
2,24,51,2022-2023,D,SERVICE_INVOICE-15112022-SGIPL-Gyproc Jhagadia SGIPL-V-51-D.pdf,113,16/11/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/11/2022 00:00:00,null,null,null
2,24,51,2022-2023,O,SERVICE_INVOICE-15112022-SGIPL-Gyproc Jhagadia SGIPL-V-51-O.pdf,113,16/11/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/11/2022 00:00:00,null,null,null
2,24,51,2022-2023,T,SERVICE_INVOICE-15112022-SGIPL-Gyproc Jhagadia SGIPL-V-51-T.pdf,113,16/11/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/11/2022 00:00:00,null,null,null
2,24,54,2022-2023,D,SERVICE_INVOICE-30112022-SGIPL-Gyproc Jhagadia SGIPL-V-54-D.pdf,23,01/12/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/12/2022 00:00:00,null,null,null
2,24,54,2022-2023,O,SERVICE_INVOICE-30112022-SGIPL-Gyproc Jhagadia SGIPL-V-54-O.pdf,23,01/12/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/12/2022 00:00:00,null,null,null
2,24,54,2022-2023,T,SERVICE_INVOICE-30112022-SGIPL-Gyproc Jhagadia SGIPL-V-54-T.pdf,23,01/12/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/12/2022 00:00:00,null,null,null
2,24,58,2022-2023,D,SERVICE_INVOICE-15122022-SGIPL-Gyproc Jhagadia SGIPL-V-58-D.pdf,113,16/12/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/12/2022 00:00:00,null,null,null
2,24,58,2022-2023,O,SERVICE_INVOICE-15122022-SGIPL-Gyproc Jhagadia SGIPL-V-58-O.pdf,113,16/12/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/12/2022 00:00:00,null,null,null
2,24,58,2022-2023,T,SERVICE_INVOICE-15122022-SGIPL-Gyproc Jhagadia SGIPL-V-58-T.pdf,113,16/12/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/12/2022 00:00:00,null,null,null
2,24,61,2022-2023,D,SERVICE_INVOICE-31122022-SGIPL-Gyproc Jhagadia SGIPL-V-61-D.pdf,113,02/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/01/2023 00:00:00,null,null,null
2,24,61,2022-2023,O,SERVICE_INVOICE-31122022-SGIPL-Gyproc Jhagadia SGIPL-V-61-O.pdf,113,02/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/01/2023 00:00:00,null,null,null
2,24,61,2022-2023,T,SERVICE_INVOICE-31122022-SGIPL-Gyproc Jhagadia SGIPL-V-61-T.pdf,113,02/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,02/01/2023 00:00:00,null,null,null
2,24,65,2022-2023,D,SERVICE_INVOICE-15012023-SGIPL-Gyproc Jhagadia SGIPL-V-65-D.pdf,113,16/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/01/2023 00:00:00,null,null,null
2,24,65,2022-2023,O,SERVICE_INVOICE-15012023-SGIPL-Gyproc Jhagadia SGIPL-V-65-O.pdf,113,16/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/01/2023 00:00:00,null,null,null
2,24,65,2022-2023,T,SERVICE_INVOICE-15012023-SGIPL-Gyproc Jhagadia SGIPL-V-65-T.pdf,113,16/01/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/01/2023 00:00:00,null,null,null
2,24,69,2022-2023,D,SERVICE_INVOICE-31012023-SGIPL-Gyproc Jhagadia SGIPL-V-69-D.pdf,113,01/02/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/02/2023 00:00:00,null,null,null
2,24,69,2022-2023,O,SERVICE_INVOICE-31012023-SGIPL-Gyproc Jhagadia SGIPL-V-69-O.pdf,113,01/02/2023 00:00:00,null,null,Y,-Select-,01/02/2023 00:00:00,null,null,null
2,24,69,2022-2023,T,SERVICE_INVOICE-31012023-SGIPL-Gyproc Jhagadia SGIPL-V-69-T.pdf,113,01/02/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/02/2023 00:00:00,null,null,null
2,24,73,2022-2023,D,SERVICE_INVOICE-15022023-SGIPL-Gyproc Jhagadia SGIPL-V-73-D.pdf,113,16/02/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/02/2023 00:00:00,null,null,null
2,24,73,2022-2023,O,SERVICE_INVOICE-15022023-SGIPL-Gyproc Jhagadia SGIPL-V-73-O.pdf,113,16/02/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/02/2023 00:00:00,null,null,null
2,24,73,2022-2023,T,SERVICE_INVOICE-15022023-SGIPL-Gyproc Jhagadia SGIPL-V-73-T.pdf,113,16/02/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/02/2023 00:00:00,null,null,null
2,24,76,2022-2023,D,SERVICE_INVOICE-28022023-SGIPL-Gyproc Jhagadia SGIPL-V-76-D.pdf,113,01/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/03/2023 00:00:00,null,null,null
2,24,76,2022-2023,O,SERVICE_INVOICE-28022023-SGIPL-Gyproc Jhagadia SGIPL-V-76-O.pdf,113,01/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/03/2023 00:00:00,null,null,null
2,24,76,2022-2023,T,SERVICE_INVOICE-28022023-SGIPL-Gyproc Jhagadia SGIPL-V-76-T.pdf,113,01/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/03/2023 00:00:00,null,null,null
2,24,79,2022-2023,D,SERVICE_INVOICE-15032023-SGIPL-Gyproc Jhagadia SGIPL-V-79-D.pdf,113,16/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/03/2023 00:00:00,null,null,null
2,24,79,2022-2023,O,SERVICE_INVOICE-15032023-SGIPL-Gyproc Jhagadia SGIPL-V-79-O.pdf,113,16/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/03/2023 00:00:00,null,null,null
2,24,79,2022-2023,T,SERVICE_INVOICE-15032023-SGIPL-Gyproc Jhagadia SGIPL-V-79-T.pdf,113,16/03/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/03/2023 00:00:00,null,null,null
2,24,84,2022-2023,D,SERVICE_INVOICE-31032023-SGIPL-Gyproc Jhagadia SGIPL-V-84-D.pdf,113,03/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/04/2023 00:00:00,null,null,null
2,24,84,2022-2023,O,SERVICE_INVOICE-31032023-SGIPL-Gyproc Jhagadia SGIPL-V-84-O.pdf,113,03/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/04/2023 00:00:00,null,null,null
2,24,84,2022-2023,T,SERVICE_INVOICE-31032023-SGIPL-Gyproc Jhagadia SGIPL-V-84-T.pdf,113,03/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,03/04/2023 00:00:00,null,null,null
2,24,2,2023-2024,D,SERVICE_INVOICE-10042023-SGIPL-Gyproc Jhagadia SGIPL-V-2-D.pdf,113,17/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/04/2023 00:00:00,null,null,null
2,24,2,2023-2024,O,SERVICE_INVOICE-10042023-SGIPL-Gyproc Jhagadia SGIPL-V-2-O.pdf,113,17/04/2023 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,17/04/2023 00:00:00,null,null,null
